Date,Sample Name,Well,Mean_dD,Mean_d18O
4/10/2016,Ili-84-do1,84,-20.2476,-4.1978
4/11/2016,Ili-84-e2,84,-20.292,-4.0442
4/13/2016,Ili-84-do-3,84,-20.4262,-4.0796
4/15/2016,Ili-84-do-4,84,-20.4673,-4.1476
4/17/2016,Ili-84-do-5,84,-20.9386,-4.1171
4/19/2016,Ili-84 -do-6,84,-20.7142,-4.2339
4/23/2016,Ili-84-do-8,84,-20.5182,-4.0595
4/10/2016,Mmi-89-do-1,89,-19.9341,-4.3068
4/11/2016,Mmi-89-e2,89,-20.2068,-4.181
4/13/2016,Mmi-89-do-3,89,-20.1171,-4.1437
4/15/2016,Mmi-89-do-4,89,-20.5315,-4.3182
4/17/2016,Mmi-89-do-5,89,-20.6364,-4.1845
4/19/2016,Malae-89 -do-6,89,-19.9527,-4.2464
4/22/2016,Mmi-89-do-7,89,-20.2214,-4.1322
4/23/2016,Mmi-89-do-8,89,-20.5141,-4.2029
4/10/2016,Moa-93-do-1,93,-18.6075,-3.91
4/11/2016,Moa-93-e2,93,-18.6589,-3.8113
4/13/2016,Moa-93- do-3,93,-18.4594,-3.7514
4/15/2016,Moa-93-do-4,93,-18.3923,-3.8903
4/17/2016,Moa-93-do-5,93,-18.9836,-3.8356
4/23/2016,Moa-93-do-8,93,-19.7545,-4.0163
4/10/2016,Taf-33-do-1,33,-22.5652,-4.5224
4/11/2016,Taf-33-e2,33,-24.5112,-4.7786
4/13/2016,Taf-33-do-3,33,-25.092,-4.6621
4/15/2016,Taf-33-do-4,33,-26.0491,-4.8683
4/17/2016,Taf-33-do-5,33,-25.018,-4.764
4/19/2016,Tafa-33 -do-6,33,-24.3459,-4.7015
4/22/2016,Taf-33-do-7,33,-23.8613,-4.6309
4/23/2016,Taf-33-do-8,33,-24.3826,-4.6145
4/10/2016,Taf-46-do-1,46,-22.7469,-4.5269
4/11/2016,Taf-46-e2,46,-23.5851,-4.6376
4/13/2016,Taf-46-do-3,46,-25.2806,-4.751
4/15/2016,Taf-46-do-4,46,-25.0293,-4.7375
4/17/2016,Taf-46-do-5,46,-25.5824,-4.7326
4/19/2016,Taf-46-do-6,46,-24.2236,-4.6779
4/22/2016,Taf-46-do-7,46,-24.0442,-4.6217
4/11/2016,Taf-81-e2,81,-28.2877,-5.2829
4/22/2016,Taf-81-do-7,81,-23.7352,-4.5018
4/11/2016,Mmi-67-e2,67,-19.3029,-4.0976
4/22/2016,Mmi-67-do-7,67,-19.9382,-4.0146
4/11/2016,Taf-72-e2,72,-27.4831,-4.9673
4/22/2016,Taf-72-do-7,72,-23.6323,-4.5056
