,Well,lenth_of_spike[hrs.],response_to_start[hrs.],response_to_peak[hrs.],max_NTU,n
0,W169,15.483333333333333,3.0,4.0,24.7153127,1
1,W33,35.61666666666667,12.666666666666666,25.6,1.093325602,3
2,W60,34.94444444444444,22.011111111111113,32.52777777777778,1.4723617390000001,3
3,W61,36.94444444444444,6.611111111111111,11.944444444444445,5.378359864,3
4,W66,86.07777777777778,14.994444444444444,36.766666666666666,2.150006668,3
5,W67,267.0,13.35,77.65,0.758210875,2
6,W70,130.0,39.85,86.85,0.043,1
7,W72,127.40555555555555,16.205555555555556,42.1,6.209069597,3
8,W77,264.6,37.56666666666666,79.24166666666666,2.373229292,2
9,W80,76.11666666666666,54.958333333333336,83.59166666666667,0.7,2
10,W81,128.82777777777778,7.122222222222222,29.727777777777778,5.280539684,3
11,W89,118.85,3.85,18.4,1.1202824740000001,1
